mprid,ldp_zip,listing_date,pending_date,ldp_views_day1,ldp_views_day3,ldp_views_day7,photo_count,type,bedrooms,year_built,sqft,price
2061904349,92651,2016-06-24,,0,41,64,7,single_family,2,1934,1655,3795000
2022779020,91016,2016-08-02,,0,12,25,15,single_family,3,1945,1182,573000
1753848324,91765,2016-08-03,,0,13,30,36,single_family,4,1991,2522,929000
2066790098,93590,2016-08-03,,22,43,43,1,mobile,3,2015,1248,79999
1767321445,92704,2016-07-11,,0,20,36,11,condo,2,1970,837,239900
2156803983,92656,2016-05-01,,0,30,90,22,condo,2,1990,1200,454900
1894506683,90020,2016-07-06,2016-07-06,12,59,117,0,condo,3,2002,1259,400000
2140253104,92692,2016-05-25,,27,74,144,33,single_family,2,1984,1279,549900
1853758561,90015,2016-06-15,,9,25,45,13,condo,1,2008,960,638000
2602387017,93543,2016-04-21,2016-05-11,4,27,52,27,single_family,4,1989,2296,309795
1211128659,90814,2016-06-23,,0,27,49,33,condo,2,1967,1159,359995
2947250421,91006,2016-06-13,,10,18,20,14,multi_family,5,1923,1896,1158888
2735386017,91331,2016-04-21,2016-05-18,16,51,118,17,single_family,3,1951,1065,425000
2735598240,91304,2016-07-02,,5,242,279,0,condo,2,1976,912,215000
1424154451,91501,2016-05-04,2016-05-12,7,111,231,32,condo,2,1990,1050,439000
2235987568,90807,2016-05-19,2016-07-04,19,50,86,36,single_family,2,1941,1812,719000
1733634498,91362,2016-06-22,2016-06-24,0,20,93,1,mobile,2,1976,1440,179500
1424251178,92801,2016-06-13,,1,29,29,12,condo,2,1964,876,250000
2743431303,93063,2016-06-17,,62,132,231,25,single_family,3,1964,1806,539950
2170390613,93550,2016-04-21,2016-05-04,0,14,64,13,single_family,4,1992,2196,279500
1327763081,92677,2016-06-18,,0,260,260,28,condo,1,1989,861,349900
1759819618,92808,2016-05-13,,0,65,149,20,condo,2,1990,1460,498000
2722656655,92651,2016-06-10,,0,77,190,4,mobile,1,1983,560,125000
2262148779,92841,2016-06-20,,0,5,23,15,single_family,4,1977,2457,669900
2438045279,92870,2016-07-31,,0,18,33,10,single_family,3,1964,1478,438000
1621044518,90740,2016-07-20,,15,60,149,24,single_family,1,1962,600,140000
1733163280,91106,2016-06-19,2016-07-27,35,179,298,36,single_family,3,1924,2964,2000000
1443838268,91101,2016-05-19,,20,74,127,27,condo,2,1988,1200,539900
1206267456,91709,2016-04-21,,3,66,146,25,single_family,3,2000,1442,499900
2558091659,92694,2016-08-16,,33,33,33,27,single_family,3,2006,1864,635000
2855658774,92673,2016-06-25,,0,33,218,34,single_family,4,1964,2253,1285000
1740407394,90003,2016-06-09,,1,7,17,1,single_family,2,1909,660,350000
2068170864,92629,2016-06-24,,0,44,68,1,multi_family,,1973,3060,1295000
2836833175,92821,2016-06-16,,15,77,147,3,single_family,4,1963,1825,668000
2041946464,91381,2016-05-01,,61,222,315,36,single_family,5,2003,3624,1199900
1369512583,92886,2016-08-11,,10,37,58,35,single_family,4,1971,3125,1299000
1289062045,91765,2016-08-06,,19,60,81,22,condo,1,1974,768,197000
1576058290,91770,2016-07-06,,0,17,39,8,single_family,2,1924,897,465000
1622135962,91706,2016-05-31,,29,65,117,3,single_family,2,1951,838,310000
2600327944,91306,2016-07-13,2016-07-22,39,147,271,17,single_family,3,1955,1401,539000
1751199997,91101,2016-07-05,,37,86,144,4,condo,2,1962,884,420000
1067261302,90248,2016-05-19,,9,43,100,11,single_family,3,1954,1240,519900
1860952569,90638,2016-04-18,,0,24,60,36,single_family,4,1954,2147,725000
1968566703,90810,2016-05-03,,16,54,92,25,multi_family,10,1959,3978,885000
1720494602,92833,2016-07-24,,2,61,123,0,single_family,4,1974,1778,789000
1987062444,90713,2016-06-14,,19,80,132,20,single_family,3,1953,1371,549000
2299879767,90254,2016-06-02,,0,0,9,19,multi_family,5,1964,2574,1700000
2181792554,91390,2016-05-09,2016-05-16,14,117,238,31,single_family,4,2008,3153,850000
1501680664,92648,2016-07-08,,0,0,21,6,mobile,1,1977,,22900
1736074395,90604,2016-08-12,,0,0,10,3,multi_family,3,1954,2756,1300000
1480630024,90706,2016-07-30,,34,94,168,22,single_family,4,2007,2113,650000
2343036693,92807,2016-07-01,,3,315,345,36,single_family,4,1977,2583,989888
1577200236,90805,2016-05-06,,51,225,420,36,single_family,3,1989,1688,385000
1035415427,93534,2016-05-01,,0,0,0,0,land,,,,109000
2180979888,90241,2016-07-12,,0,0,0,0,single_family,3,1950,1104,435000
2135254577,90241,2016-08-02,,0,12,81,0,single_family,4,1959,2819,799000
2704794347,91767,2016-07-07,,0,37,90,18,single_family,3,1952,1042,335000
2695990503,92660,2016-06-17,,0,77,248,30,mobile,3,1984,860,275000
1558206498,92840,2016-05-14,,0,1,95,36,single_family,3,1974,1404,395000
2218521916,91351,2016-05-18,2016-05-23,21,99,181,16,single_family,3,1998,1660,485000
1145014506,90033,2016-07-13,,0,52,97,7,multi_family,5,1905,1527,449000
2533524630,91423,2016-06-11,2016-06-22,43,106,150,16,condo,2,1991,1871,699000
1354384537,92648,2016-05-17,,0,47,97,36,single_family,5,2001,3816,2190000
2187341695,91324,2016-07-21,,11,111,235,26,single_family,4,1957,2455,755000
2139671674,91791,2016-07-12,,0,23,55,11,condo,3,1987,1389,378800
1914921938,92663,2016-07-18,,0,168,358,36,single_family,5,2015,3950,10800000
2318265175,91606,2016-07-17,,0,5,76,0,multi_family,1,1941,1938,589000
2234003027,90004,2016-08-12,,4,39,64,27,multi_family,4,1924,2340,1050000
1330755728,92629,2016-06-29,,0,54,104,18,condo,2,1974,844,519000
2250984466,91361,2016-07-25,,39,161,282,15,single_family,7,2009,10950,13500000
2000997766,92660,2016-06-18,,0,0,50,32,mobile,2,1965,1000,199000
1763656971,93535,2016-05-11,,4,23,43,1,single_family,2,1955,441,89900
2149829932,91711,2016-06-14,,31,87,153,18,condo,2,1986,1180,325000
2418622571,91710,2016-07-11,,0,111,212,20,single_family,4,2002,1882,410000
1427276446,93550,2016-06-19,2016-06-20,50,460,516,1,single_family,4,1987,2034,228900
1584513288,91342,2016-07-21,2016-07-29,0,9,24,0,single_family,4,1999,1773,499900
1897084484,91362,2016-06-21,2016-07-05,1,58,108,36,single_family,3,1994,1933,849950
1920103464,91362,2016-07-18,,0,35,142,36,single_family,3,1959,1823,754000
1562131497,90605,2016-05-30,,0,14,30,19,single_family,3,1951,1478,480000
1703858951,90813,2016-06-05,,41,133,194,14,single_family,3,1940,1158,399990
2535043607,90723,2016-05-26,,0,0,0,7,condo,1,1991,624,140000
2525444035,92780,2016-05-27,,23,59,87,21,single_family,3,1957,1474,759000
2529736619,91741,2016-07-30,,41,74,133,10,single_family,3,1956,1654,679000
1000811052,90815,2016-07-10,,0,16,51,21,single_family,3,1951,1173,535000
2489390718,91304,2016-06-10,,0,0,87,0,single_family,3,1959,1144,450000
1866891855,91326,2016-07-27,2016-08-01,81,200,326,36,single_family,4,1989,2231,674900
2214459929,91387,2016-05-19,2016-08-03,35,128,219,20,single_family,4,1967,2176,519950
1133298568,90041,2016-06-02,2016-07-05,20,44,93,25,single_family,3,1922,1340,679000
2679726259,92629,2016-05-15,,0,0,0,19,single_family,4,1964,2034,847000
2279985348,90606,2016-06-13,,0,78,158,1,single_family,3,1954,1125,399900
1349983487,91214,2016-06-17,,32,85,119,26,single_family,3,1999,2603,895000
1206113743,93536,2016-04-21,2016-06-08,0,0,6,4,land,,,,18000
2686928216,90240,2016-07-20,,3,33,85,24,single_family,3,1983,4232,999000
2691093073,92653,2016-05-23,,0,0,0,21,condo,3,1976,1400,425000
1266609424,90274,2016-05-06,,0,30,34,10,condo,3,1975,1722,635000
1101630771,92677,2016-06-01,,0,46,94,16,condo,2,1971,1258,498000
1605165437,91724,2016-07-27,,4,83,140,16,single_family,4,1955,1857,565000
1349981041,91304,2016-07-27,2016-08-04,0,9,17,0,single_family,3,1957,1638,549000
1997480461,90277,2016-06-29,,0,41,79,29,single_family,4,1955,1651,1725000
2128341301,92649,2016-05-18,,63,132,199,0,single_family,3,1962,1146,700000
2966216918,93535,2016-06-22,,0,5,5,15,land,,,,275000
1290642288,91356,2016-05-24,,0,29,29,25,condo,2,1982,1352,410000
2388752039,90808,2016-08-08,,0,43,74,24,single_family,3,1963,1653,725000
2811808132,92653,2016-04-25,,11,37,74,32,single_family,5,1977,4700,2195000
2917785136,91406,2016-05-31,,0,36,75,23,single_family,3,1954,1894,625000
2068844221,91606,2016-07-08,,0,32,87,15,single_family,3,1950,1377,665000
1317750189,92886,2016-06-11,,25,72,105,18,single_family,3,1964,1465,640000
1945062504,90043,2016-07-15,,0,26,50,1,multi_family,4,1925,2304,600000
2946973815,93535,2016-08-07,,0,9,37,10,single_family,3,1999,1815,250000
1619296933,91344,2016-07-07,2016-07-20,11,58,112,18,single_family,3,1956,1900,569900
2680204876,92630,2016-08-04,,7,30,68,19,condo,2,1981,904,284990
2371210295,90008,2016-06-26,2016-07-07,62,138,215,17,condo,2,2007,1020,369999
2716890737,91304,2016-06-16,2016-08-13,1,15,37,1,condo,1,1979,649,214000
1082716578,93536,2016-07-16,,0,13,21,7,land,,,,18888
1522980032,92692,2016-07-07,,0,18,55,5,single_family,2,1971,1124,540000
2554270724,91304,2016-04-23,2016-07-15,0,35,83,25,condo,3,1982,1784,450000
1358409442,91342,2016-07-25,2016-08-04,0,6,23,1,single_family,3,1993,2201,510000
2571050028,91010,2016-07-09,,0,43,101,15,condo,2,1983,993,304000
2177645669,93550,2016-05-11,2016-05-17,0,125,237,36,single_family,4,2013,1743,294900
2344749184,90003,2016-05-07,,0,11,38,15,single_family,3,1982,1900,320000
1264615253,92672,2016-05-17,,0,7,49,36,single_family,5,1996,2960,1350000
2175925780,91304,2016-04-29,,13,66,121,26,mobile,2,1981,2160,95000
1759634601,92660,2016-06-13,,0,51,110,24,condo,2,1979,1157,539900
1276304530,91709,2016-05-19,,22,66,139,21,single_family,4,1979,1656,550000
2294850087,90047,2016-05-24,,3,59,90,1,single_family,2,1927,918,255000
2715224439,90242,2016-08-01,,0,3,37,1,single_family,3,1954,1132,479000
2377481980,90025,2016-08-05,,7,51,116,14,condo,2,1981,1449,699500
2360233443,91711,2016-06-23,,13,54,130,11,single_family,3,1952,1954,605500
1379154496,90201,2016-05-21,,15,37,68,19,single_family,3,1941,1437,437900
2234412249,91773,2016-05-04,,0,31,124,15,single_family,3,1950,2574,625000
2525704377,90808,2016-06-30,,0,29,120,36,single_family,5,1965,2652,829900
2292529508,90802,2016-07-14,,0,58,128,8,condo,1,1973,690,335000
2636642977,90025,2016-06-10,,36,137,210,16,condo,2,2008,830,599500
1570378123,91344,2016-05-11,2016-05-18,69,145,244,25,single_family,4,1958,1994,699000
1270570008,93243,2016-05-13,,1,13,60,0,mobile,2,1977,1344,105000
2389428604,91406,2016-08-01,,0,41,70,20,single_family,3,1954,1820,599000
2300400267,91406,2016-07-17,,11,127,170,25,single_family,3,1948,1113,499990
2815526503,92692,2016-06-29,,0,19,38,10,condo,3,1995,1754,595000
2314452032,92648,2016-04-20,,0,0,0,14,multi_family,20,1965,8790,3699000
2423233002,92673,2016-06-27,,0,85,121,36,single_family,5,2003,4147,1475000
1257988396,90247,2016-06-08,,0,56,136,12,single_family,4,1948,1315,445000
2008408033,90201,2016-06-14,,0,64,94,4,multi_family,6,1959,3900,925000
1259011024,90023,2016-04-19,,18,69,122,1,single_family,4,1923,1501,350000
1681546098,91765,2016-08-10,,0,46,59,34,single_family,5,1971,2447,949000
2248022450,92653,2016-04-25,,12,65,116,7,condo,2,1981,900,274900
2702604583,90062,2016-06-21,,0,20,62,11,multi_family,2,1923,1925,450000
2737812491,92692,2016-04-24,,0,0,45,36,single_family,5,1980,3415,1069000
2511880638,91106,2016-07-25,,0,55,87,34,condo,2,1987,1495,650000
2234371314,91311,2016-05-18,2016-06-29,8,65,107,27,single_family,3,1969,2237,649000
1001702286,90706,2016-08-16,,8,8,8,9,condo,2,1984,1136,340000
2360402162,92675,2016-07-11,,0,57,157,36,condo,3,1972,1680,595000
2008669690,91016,2016-06-16,,10,34,61,10,single_family,1,1949,792,425000
1034216681,92672,2016-07-22,,14,143,281,25,single_family,2,1963,1250,509000
1832995408,92692,2016-05-20,,0,0,22,26,single_family,4,1997,3403,1450000
1904576986,92835,2016-08-05,,26,102,201,29,single_family,4,1972,1407,499900
2113175285,92870,2016-05-02,,9,43,63,14,condo,2,1972,845,244900
2848017513,90706,2016-05-12,,16,98,173,12,single_family,2,1929,888,425000
2964190222,90802,2016-08-01,,4,37,69,12,condo,1,1992,881,444900
1155133692,91750,2016-06-09,,0,13,14,5,condo,3,1983,1292,408000
1404964812,92869,2016-04-18,,0,0,21,8,condo,1,1992,738,299900
2639203659,92782,2016-07-28,,19,43,69,36,single_family,4,1993,3325,1250000
1895577243,92804,2016-08-06,,39,861,922,29,condo,4,1980,1541,395000
2976611612,93550,2016-08-11,,45,321,383,18,single_family,2,1984,1103,189990
2043551316,91101,2016-04-21,2016-07-23,0,120,245,20,condo,3,1979,1604,599000
2318505796,92692,2016-06-08,,0,46,84,35,condo,2,1980,1515,420000
1262225400,90232,2016-05-25,,0,0,34,24,single_family,3,2016,2630,1749000
2360837402,91331,2016-05-19,2016-05-27,12,51,146,16,single_family,2,1985,884,339999
2930382064,90621,2016-05-17,,58,138,228,27,single_family,3,1955,1350,479000
1801527392,,2016-08-13,,0,0,0,26,single_family,4,1954,1346,545700
2024544982,91006,2016-08-14,,13,47,47,29,single_family,2,1948,855,518000
2687245940,91006,2016-08-05,,22,78,122,32,single_family,3,1953,2225,998000
1811791270,91775,2016-07-22,,0,0,0,2,multi_family,11,1931,4989,1790000
2095250550,91201,2016-05-29,,0,56,98,2,land,,2015,,655000
1818126297,92692,2016-06-29,,0,7,65,12,single_family,4,1993,2522,874000
1979481714,90034,2016-07-26,,0,7,23,3,single_family,3,1929,1300,850000
1009732378,92835,2016-06-01,,0,0,104,22,single_family,3,1958,1778,560000
2239022373,92614,2016-05-18,,97,227,330,36,condo,3,1989,1206,550000
1238954426,91367,2016-06-22,2016-07-06,23,91,167,11,single_family,4,1950,2219,899000
2461782616,93552,2016-06-22,2016-06-27,42,392,430,24,single_family,3,1989,1736,245000
1196903035,92672,2016-08-08,,0,103,168,1,single_family,3,1975,1927,899900
1160463425,90247,2016-04-19,,0,39,147,1,single_family,3,1951,1482,449000
2217698580,92627,2016-07-08,,0,46,78,14,single_family,4,2007,2210,825000
1741052991,91605,2016-04-25,,7,50,95,8,multi_family,4,1947,1742,579000
2368582665,93063,2016-06-21,2016-07-20,0,46,158,27,condo,3,1984,1280,369500
1078873785,93551,2016-05-03,2016-08-09,12,129,166,13,single_family,3,2005,1974,299000
2265557556,93551,2016-06-29,,0,47,106,16,single_family,4,2015,2628,445000
1799383454,92840,2016-07-08,,0,53,114,15,single_family,3,1959,1209,550000
2291107046,90803,2016-06-12,,10,38,68,25,condo,2,1961,1104,759900
2006568276,91750,2016-04-22,,111,184,245,30,single_family,3,1939,1820,559900
2401279173,91406,2016-06-02,,0,12,28,8,single_family,2,1948,850,494999
1490231492,92780,2016-06-10,,0,3,22,27,single_family,4,1964,1858,849900
2789316653,91706,2016-07-05,,0,59,101,11,single_family,3,1953,1073,380000
2263112099,90505,2016-06-24,,0,54,131,18,single_family,3,1952,810,800000
1792683991,91321,2016-08-02,,7,99,207,31,condo,3,1966,1406,340000
1893723334,91326,2016-05-25,2016-06-02,26,81,127,7,single_family,3,1987,1903,689000
1094074072,91710,2016-04-20,,0,20,85,12,single_family,3,1963,1134,399000
1598158737,92708,2016-05-11,,0,0,0,36,single_family,5,1976,2918,1490000
1212692483,92675,2016-06-10,,0,29,91,36,single_family,4,1991,6449,3188000
2143268497,92625,2016-06-11,,0,0,0,19,single_family,3,1948,1740,1989000
2307574037,92603,2016-06-06,,0,50,100,36,single_family,4,1976,2348,1300000
1922850321,91352,2016-06-16,,0,13,32,1,single_family,2,1954,877,469900
1133711369,92677,2016-06-18,,0,60,211,36,single_family,4,1972,1738,789000
2156050254,91311,2016-07-19,,3,18,33,0,land,,,,150000
2432815423,92646,2016-07-15,,0,76,152,30,single_family,4,1966,1595,799000
2407088625,92675,2016-08-11,,0,46,100,25,single_family,3,1999,1768,649900
1571897803,93536,2016-04-24,2016-05-02,66,234,288,5,single_family,3,1971,936,171000
2905409173,91367,2016-06-23,2016-08-12,17,102,203,16,condo,2,1966,1014,349900
2746310533,90803,2016-06-08,,0,4,74,11,multi_family,2,1920,1550,859900
1614099633,91354,2016-07-20,2016-07-28,2,102,178,16,condo,2,1999,1025,360000
2317877994,91325,2016-08-09,,0,1,7,3,land,,1945,,1070000
1421040010,92807,2016-06-03,,15,43,79,25,single_family,3,1975,1240,615000
1305382971,92624,2016-06-11,,0,0,0,27,single_family,3,1978,2004,799000
1656887110,91767,2016-06-03,,0,10,68,0,single_family,4,2003,2273,448800
2320921726,91107,2016-08-16,,51,51,51,20,condo,3,1982,1808,578800
2661533813,92646,2016-08-15,,48,397,397,35,condo,3,1980,1287,555000
1998414036,90242,2016-06-11,,0,8,125,21,single_family,2,1942,1531,524500
2708844442,93535,2016-07-19,2016-07-25,119,193,259,27,single_family,5,1990,1898,225000
1753732858,90303,2016-04-20,,0,51,78,36,single_family,3,1947,1192,459000
2895529144,91042,2016-07-18,,0,53,224,8,single_family,2,1936,888,150000
2148323795,90069,2016-07-19,,0,57,107,8,single_family,1,1928,690,1300000
1989221943,90604,2016-07-26,,17,88,164,28,single_family,4,1962,1879,549000
1528671083,91406,2016-05-12,2016-05-19,0,8,28,15,single_family,3,1950,1181,439500
1900000979,90803,2016-05-27,,32,126,236,36,single_family,4,1973,1811,599900
1365731756,91722,2016-06-03,,24,118,226,22,single_family,3,1954,1000,410000
1791442843,93551,2016-06-08,,33,207,274,14,single_family,4,1980,2670,395000
2544053986,90803,2016-05-21,,0,35,68,36,single_family,3,1986,1863,975000
1363339216,90247,2016-07-29,,2,78,175,12,single_family,2,1949,1000,425000
1475425080,90275,2016-07-18,,0,9,22,2,condo,2,2016,1735,949990
1372104936,90068,2016-08-12,,87,241,302,36,single_family,4,1939,3118,1895000
1293776541,92653,2016-04-25,,8,43,74,3,condo,3,1981,1200,280000
2124946432,90716,2016-08-15,,2,9,9,9,single_family,4,1929,1311,385000
2173207050,91744,2016-06-17,,0,5,21,0,single_family,3,1978,2085,570000
1056278119,92801,2016-08-16,,17,17,17,25,condo,2,1984,945,355000
1585865897,92865,2016-07-11,,0,48,125,36,condo,4,2008,1926,619000
2125300718,91006,2016-04-27,,23,88,176,36,single_family,3,1950,1089,525000
2928438699,92676,2016-07-27,,0,39,119,20,single_family,4,1929,1775,599000
2429810363,91361,2016-07-01,,31,65,134,30,single_family,5,1978,4457,1919000
1089314517,90805,2016-04-19,,3,29,57,17,single_family,3,1964,2000,659900
2430729233,91773,2016-05-05,,0,22,148,14,single_family,3,1975,1494,549900
1716404548,92807,2016-06-28,,0,0,86,36,condo,3,1979,1831,579999
2421018750,91423,2016-06-06,,9,46,76,9,condo,2,1978,1386,497000
2951803163,90706,2016-08-04,,13,21,51,21,condo,3,1981,1155,312000
1692077135,92663,2016-04-16,,0,86,153,19,single_family,5,2007,3934,2795000
1518356455,93560,2016-07-08,,0,0,0,6,mobile,3,1990,1056,54950
1988344711,93536,2016-06-07,2016-06-15,0,0,56,20,single_family,3,1989,1485,259900
1402820296,90031,2016-06-08,,0,46,92,7,multi_family,7,1989,2710,699000
2742501183,90505,2016-06-10,,12,59,93,7,single_family,4,1955,1946,750000
1768838863,91364,2016-06-19,,0,1,15,0,land,,,,300000
2273205146,91351,2016-04-19,2016-05-23,16,49,79,19,condo,2,1984,850,224900
2776723210,92821,2016-04-19,2016-05-04,0,97,181,23,single_family,4,1971,1467,640000
2531937052,92673,2016-06-19,,0,5,38,36,single_family,5,2000,4100,1225000
2611816340,92691,2016-06-06,,0,30,81,27,single_family,4,1971,2542,739000
1116147921,91803,2016-05-12,2016-07-05,43,127,206,26,single_family,2,1931,1550,629000
